"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2011","Croatia","Bosnia and Herzegovina","Total","Total","Number","1,219",""
"2011","Croatia","Serbia","Total","Total","Number","397",""
"2011","Italy","Total","Total","Total","Number","385,793",""
"2011","Italy","Reporting country","Total","Total","Number","31,466",""
"2011","Italy","Foreign country","Total","Total","Number","354,327",""
"2011","Italy","Belgium","Total","Total","Number","354",""
"2011","Italy","Bulgaria","Total","Total","Number","5,101",""
"2011","Italy","Czechia","Total","Total","Number","428",""
"2011","Italy","Denmark","Total","Total","Number","150",""
"2011","Italy","Germany (until 1990 former territory of the FRG)","Total","Total","Number","2,034",""
"2011","Italy","Estonia","Total","Total","Number","91",""
"2011","Italy","Ireland","Total","Total","Number","211",""
"2011","Italy","Greece","Total","Total","Number","440",""
"2011","Italy","Spain","Total","Total","Number","1,666",""
"2011","Italy","France","Total","Total","Number","1,892",""
"2011","Italy","Croatia","Total","Total","Number","559",""
"2011","Italy","Italy","Total","Total","Number","31,466",""
"2011","Italy","Cyprus","Total","Total","Number","17",""
"2011","Italy","Latvia","Total","Total","Number","321",""
"2011","Italy","Lithuania","Total","Total","Number","492",""
"2011","Italy","Luxembourg","Total","Total","Number","16",""
"2011","Italy","Hungary","Total","Total","Number","871",""
"2011","Italy","Netherlands","Total","Total","Number","437",""
"2011","Italy","Austria","Total","Total","Number","317",""
"2011","Italy","Poland","Total","Total","Number","5,471",""
"2011","Italy","Portugal","Total","Total","Number","452",""
"2011","Italy","Romania","Total","Total","Number","90,096",""
"2011","Italy","Slovenia","Total","Total","Number","192",""
"2011","Italy","Slovakia","Total","Total","Number","730",""
"2011","Italy","Finland","Total","Total","Number","117",""
"2011","Italy","Sweden","Total","Total","Number","260",""
"2011","Italy","United Kingdom","Total","Total","Number","1,591",""
"2011","Italy","Norway","Total","Total","Number","79",""
"2011","Italy","Switzerland","Total","Total","Number","375",""
"2011","Italy","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,932",""
"2011","Italy","Turkey","Total","Total","Number","1,397",""
"2011","Italy","Albania","Total","Total","Number","16,613",""
"2011","Italy","Bosnia and Herzegovina","Total","Total","Number","789",""
"2011","Italy","Serbia","Total","Total","Number","1,489",""
"2011","Latvia","Total","Total","Total","Number","10,234",""
"2011","Latvia","Reporting country","Total","Total","Number","7,373",""
"2011","Latvia","Foreign country","Total","Total","Number","2,861","b"
"2011","Latvia","Belgium","Total","Total","Number",":",""
"2011","Latvia","Bulgaria","Total","Total","Number",":",""
"2011","Latvia","Czechia","Total","Total","Number",":",""
"2011","Latvia","Denmark","Total","Total","Number",":",""
"2011","Latvia","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2011","Latvia","Estonia","Total","Total","Number",":",""
"2011","Latvia","Ireland","Total","Total","Number",":",""
"2011","Latvia","Greece","Total","Total","Number",":",""
"2011","Latvia","Spain","Total","Total","Number",":",""
"2011","Latvia","France","Total","Total","Number",":",""
"2011","Latvia","Croatia","Total","Total","Number",":",""
"2011","Latvia","Italy","Total","Total","Number",":",""
"2011","Latvia","Cyprus","Total","Total","Number",":",""
"2011","Latvia","Latvia","Total","Total","Number",":",""
"2011","Latvia","Lithuania","Total","Total","Number",":",""
"2011","Latvia","Luxembourg","Total","Total","Number",":",""
"2011","Latvia","Hungary","Total","Total","Number",":",""
"2011","Latvia","Netherlands","Total","Total","Number",":",""
"2011","Latvia","Austria","Total","Total","Number",":",""
"2011","Latvia","Poland","Total","Total","Number",":",""
"2011","Latvia","Portugal","Total","Total","Number",":",""
"2011","Latvia","Romania","Total","Total","Number",":",""
"2011","Latvia","Slovenia","Total","Total","Number",":",""
"2011","Latvia","Slovakia","Total","Total","Number",":",""
"2011","Latvia","Finland","Total","Total","Number",":",""
"2011","Latvia","Sweden","Total","Total","Number",":",""
"2011","Latvia","United Kingdom","Total","Total","Number",":",""
"2011","Latvia","Norway","Total","Total","Number",":",""
"2011","Latvia","Switzerland","Total","Total","Number",":",""
"2011","Latvia","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
"2011","Latvia","Turkey","Total","Total","Number",":",""
"2011","Latvia","Albania","Total","Total","Number",":",""
"2011","Latvia","Bosnia and Herzegovina","Total","Total","Number",":",""
"2011","Latvia","Serbia","Total","Total","Number",":",""
"2011","Lithuania","Total","Total","Total","Number","15,685",""
"2011","Lithuania","Reporting country","Total","Total","Number","14,012",""
"2011","Lithuania","Foreign country","Total","Total","Number","1,673",""
"2011","Lithuania","Belgium","Total","Total","Number","3",""
"2011","Lithuania","Bulgaria","Total","Total","Number","18",""
"2011","Lithuania","Czechia","Total","Total","Number","6",""
"2011","Lithuania","Denmark","Total","Total","Number","10",""
"2011","Lithuania","Germany (until 1990 former territory of the FRG)","Total","Total","Number","57",""
"2011","Lithuania","Estonia","Total","Total","Number","11",""
"2011","Lithuania","Ireland","Total","Total","Number","7",""
"2011","Lithuania","Greece","Total","Total","Number","5",""
"2011","Lithuania","Spain","Total","Total","Number","33",""
"2011","Lithuania","France","Total","Total","Number","32",""
"2011","Lithuania","Croatia","Total","Total","Number","0",""
"2011","Lithuania","Italy","Total","Total","Number","24",""
"2011","Lithuania","Cyprus","Total","Total","Number","1",""
"2011","Lithuania","Latvia","Total","Total","Number","90",""
"2011","Lithuania","Lithuania","Total","Total","Number","14,012",""
"2011","Lithuania","Luxembourg","Total","Total","Number","1",""
"2011","Lithuania","Hungary","Total","Total","Number","1",""
"2011","Lithuania","Netherlands","Total","Total","Number","6",""
"2011","Lithuania","Austria","Total","Total","Number","4",""
"2011","Lithuania","Poland","Total","Total","Number","73",""
"2011","Lithuania","Portugal","Total","Total","Number","4",""
"2011","Lithuania","Romania","Total","Total","Number","47",""
"2011","Lithuania","Slovenia","Total","Total","Number","1",""
"2011","Lithuania","Slovakia","Total","Total","Number","7",""
"2011","Lithuania","Finland","Total","Total","Number","20",""
"2011","Lithuania","Sweden","Total","Total","Number","16",""
"2011","Lithuania","United Kingdom","Total","Total","Number","24",""
"2011","Lithuania","Norway","Total","Total","Number","11",""
"2011","Lithuania","Switzerland","Total","Total","Number","0",""
"2011","Lithuania","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","0",""
"2011","Lithuania","Turkey","Total","Total","Number","26",""
"2011","Lithuania","Albania","Total","Total","Number","1",""
"2011","Lithuania","Bosnia and Herzegovina","Total","Total","Number","1",""
"2011","Lithuania","Serbia","Total","Total","Number","1",""
"2011","Luxembourg","Total","Total","Total","Number","20,268",""
"2011","Luxembourg","Reporting country","Total","Total","Number","1,160",""
"2011","Luxembourg","Foreign country","Total","Total","Number","19,063",""
"2011","Luxembourg","Belgium","Total","Total","Number","1,159",""
"2011","Luxembourg","Bulgaria","Total","Total","Number","138",""
"2011","Luxembourg","Czechia","Total","Total","Number","109",""
"2011","Luxembourg","Denmark","Total","Total","Number","104",""
"2011","Luxembourg","Germany (until 1990 former territory of the FRG)","Total","Total","Number","1,110",""
"2011","Luxembourg","Estonia","Total","Total","Number","55",""
"2011","Luxembourg","Ireland","Total","Total","Number","164",""
"2011","Luxembourg","Greece","Total","Total","Number","185",""
"2011","Luxembourg","Spain","Total","Total","Number","455",""
"2011","Luxembourg","France","Total","Total","Number","3,227",""
"2011","Luxembourg","Croatia","Total","Total","Number","39",""
"2011","Luxembourg","Italy","Total","Total","Number","958",""
"2011","Luxembourg","Cyprus","Total","Total","Number","11",""
"2011","Luxembourg","Latvia","Total","Total","Number","85",""
"2011","Luxembourg","Lithuania","Total","Total","Number","81",""
"2011","Luxembourg","Luxembourg","Total","Total","Number","1,160",""
"2011","Luxembourg","Hungary","Total","Total","Number","177",""
"2011","Luxembourg","Netherlands","Total","Total","Number","229",""
"2011","Luxembourg","Austria","Total","Total","Number","64",""
"2011","Luxembourg","Poland","Total","Total","Number","417",""
"2011","Luxembourg","Portugal","Total","Total","Number","4,977",""
"2011","Luxembourg","Romania","Total","Total","Number","453",""
"2011","Luxembourg","Slovenia","Total","Total","Number","61",""
"2011","Luxembourg","Slovakia","Total","Total","Number","62",""
