"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2008","Germany (until 1990 former territory of the FRG)","Czechia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Denmark","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Estonia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Ireland","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Greece","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Spain","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","France","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Croatia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Italy","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Cyprus","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Latvia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Hungary","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Malta","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Austria","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Poland","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Portugal","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Romania","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Slovenia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Slovakia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Finland","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Sweden","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","United Kingdom","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Norway","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":",""
