"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Hungary","Total","Age reached during the year","Less than 15 years","Number","Males","128",""
"2011","Hungary","Total","Age reached during the year","Less than 15 years","Number","Females","136",""
"2011","Hungary","Total","Age reached during the year","From 15 to 64 years","Number","Total","14,713",""
"2011","Hungary","Total","Age reached during the year","From 15 to 64 years","Number","Males","7,998",""
"2011","Hungary","Total","Age reached during the year","From 15 to 64 years","Number","Females","6,715",""
"2011","Hungary","Total","Age reached during the year","65 years or over","Number","Total","123",""
"2011","Hungary","Total","Age reached during the year","65 years or over","Number","Males","67",""
"2011","Hungary","Total","Age reached during the year","65 years or over","Number","Females","56",""
"2011","Netherlands","Total","Age reached during the year","Total","Number","Total","104,201",""
"2011","Netherlands","Total","Age reached during the year","Total","Number","Males","59,157",""
"2011","Netherlands","Total","Age reached during the year","Total","Number","Females","45,044",""
"2011","Netherlands","Total","Age reached during the year","Less than 15 years","Number","Total","14,249",""
"2011","Netherlands","Total","Age reached during the year","Less than 15 years","Number","Males","7,324",""
"2011","Netherlands","Total","Age reached during the year","Less than 15 years","Number","Females","6,925",""
"2011","Netherlands","Total","Age reached during the year","From 15 to 64 years","Number","Total","86,819",""
"2011","Netherlands","Total","Age reached during the year","From 15 to 64 years","Number","Males","50,011",""
"2011","Netherlands","Total","Age reached during the year","From 15 to 64 years","Number","Females","36,808",""
"2011","Netherlands","Total","Age reached during the year","65 years or over","Number","Total","3,133",""
"2011","Netherlands","Total","Age reached during the year","65 years or over","Number","Males","1,822",""
"2011","Netherlands","Total","Age reached during the year","65 years or over","Number","Females","1,311",""
"2011","Austria","Total","Age reached during the year","Total","Number","Total","51,197",""
"2011","Austria","Total","Age reached during the year","Total","Number","Males","29,112",""
"2011","Austria","Total","Age reached during the year","Total","Number","Females","22,085",""
"2011","Austria","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Austria","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Austria","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Austria","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Austria","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Austria","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Austria","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Austria","Total","Age reached during the year","65 years or over","Number","Males",":",""
