"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Denmark","Total","Age reached during the year","From 30 to 34 years","Number","Total","4,851",""
"2007","Denmark","Total","Age reached during the year","From 30 to 34 years","Number","Males","2,764",""
"2007","Denmark","Total","Age reached during the year","From 30 to 34 years","Number","Females","2,087",""
"2007","Denmark","Total","Age reached during the year","From 35 to 39 years","Number","Total","3,087",""
"2007","Denmark","Total","Age reached during the year","From 35 to 39 years","Number","Males","1,830",""
"2007","Denmark","Total","Age reached during the year","From 35 to 39 years","Number","Females","1,257",""
"2007","Denmark","Total","Age reached during the year","From 40 to 44 years","Number","Total","2,278",""
"2007","Denmark","Total","Age reached during the year","From 40 to 44 years","Number","Males","1,469",""
"2007","Denmark","Total","Age reached during the year","From 40 to 44 years","Number","Females","809",""
"2007","Denmark","Total","Age reached during the year","From 45 to 49 years","Number","Total","1,429",""
"2007","Denmark","Total","Age reached during the year","From 45 to 49 years","Number","Males","915",""
"2007","Denmark","Total","Age reached during the year","From 45 to 49 years","Number","Females","514",""
"2007","Denmark","Total","Age reached during the year","From 50 to 54 years","Number","Total","1,044",""
"2007","Denmark","Total","Age reached during the year","From 50 to 54 years","Number","Males","635",""
"2007","Denmark","Total","Age reached during the year","From 50 to 54 years","Number","Females","409",""
"2007","Denmark","Total","Age reached during the year","From 55 to 59 years","Number","Total","777",""
"2007","Denmark","Total","Age reached during the year","From 55 to 59 years","Number","Males","461",""
"2007","Denmark","Total","Age reached during the year","From 55 to 59 years","Number","Females","316",""
"2007","Denmark","Total","Age reached during the year","From 60 to 64 years","Number","Total","734",""
"2007","Denmark","Total","Age reached during the year","From 60 to 64 years","Number","Males","425",""
"2007","Denmark","Total","Age reached during the year","From 60 to 64 years","Number","Females","309",""
"2007","Denmark","Total","Age reached during the year","From 65 to 69 years","Number","Total","349",""
"2007","Denmark","Total","Age reached during the year","From 65 to 69 years","Number","Males","230",""
"2007","Denmark","Total","Age reached during the year","From 65 to 69 years","Number","Females","119",""
"2007","Denmark","Total","Age reached during the year","65 years or over","Number","Total","576",""
"2007","Denmark","Total","Age reached during the year","65 years or over","Number","Males","356",""
"2007","Denmark","Total","Age reached during the year","65 years or over","Number","Females","220",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","636,854",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Males","391,967",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Females","244,887",""
