"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Denmark","Slovenia","Age reached during the year","Total","Number","Total","66",""
"2011","Denmark","Slovakia","Age reached during the year","Total","Number","Total","212",""
"2011","Denmark","Finland","Age reached during the year","Total","Number","Total","432",""
"2011","Denmark","Sweden","Age reached during the year","Total","Number","Total","3,628",""
"2011","Denmark","United Kingdom","Age reached during the year","Total","Number","Total","2,234",""
"2011","Denmark","Norway","Age reached during the year","Total","Number","Total","2,998",""
"2011","Denmark","Switzerland","Age reached during the year","Total","Number","Total","458",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","249,045",""
"2011","Germany (until 1990 former territory of the FRG)","Belgium","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Czechia","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Denmark","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Estonia","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Ireland","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Greece","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Spain","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","France","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Croatia","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Italy","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Cyprus","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Latvia","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Lithuania","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Hungary","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Netherlands","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Austria","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Poland","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Portugal","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Romania","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Finland","Age reached during the year","Total","Number","Total",":",""
