"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Czechia","Austria","Age reached during the year","Total","Number","Total","37",""
"2007","Czechia","Poland","Age reached during the year","Total","Number","Total","96",""
"2007","Czechia","Portugal","Age reached during the year","Total","Number","Total","2",""
"2007","Czechia","Romania","Age reached during the year","Total","Number","Total","333",""
"2007","Czechia","Slovenia","Age reached during the year","Total","Number","Total","3",""
"2007","Czechia","Slovakia","Age reached during the year","Total","Number","Total","802",""
"2007","Czechia","Finland","Age reached during the year","Total","Number","Total","7",""
"2007","Czechia","Sweden","Age reached during the year","Total","Number","Total","5",""
"2007","Czechia","United Kingdom","Age reached during the year","Total","Number","Total","31",""
"2007","Czechia","Norway","Age reached during the year","Total","Number","Total","1",""
"2007","Czechia","Switzerland","Age reached during the year","Total","Number","Total","12",""
"2007","Czechia","Turkey","Age reached during the year","Total","Number","Total","156",""
"2007","Czechia","Serbia","Age reached during the year","Total","Number","Total","147",""
"2007","Czechia","Russia","Age reached during the year","Total","Number","Total","930",""
"2007","Czechia","Africa","Age reached during the year","Total","Number","Total","268",""
"2007","Czechia","Northern America","Age reached during the year","Total","Number","Total",":",""
"2007","Czechia","United States","Age reached during the year","Total","Number","Total","871",""
"2007","Czechia","Central America","Age reached during the year","Total","Number","Total",":",""
"2007","Czechia","South America","Age reached during the year","Total","Number","Total",":",""
"2007","Czechia","Asia","Age reached during the year","Total","Number","Total","3,352",""
"2007","Czechia","Oceania","Age reached during the year","Total","Number","Total","46",""
"2007","Denmark","Total","Age reached during the year","Total","Number","Total","41,566",""
"2007","Denmark","Unknown","Age reached during the year","Total","Number","Total",":",""
"2007","Denmark","Belgium","Age reached during the year","Total","Number","Total","342",""
"2007","Denmark","Bulgaria","Age reached during the year","Total","Number","Total","65",""
"2007","Denmark","Czechia","Age reached during the year","Total","Number","Total","168",""
"2007","Denmark","Denmark","Age reached during the year","Total","Number","Total",":",""
"2007","Denmark","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","2,599",""
"2007","Denmark","Estonia","Age reached during the year","Total","Number","Total","85",""
"2007","Denmark","Ireland","Age reached during the year","Total","Number","Total","228",""
"2007","Denmark","Greece","Age reached during the year","Total","Number","Total","143",""
"2007","Denmark","Spain","Age reached during the year","Total","Number","Total","1,485",""
"2007","Denmark","France","Age reached during the year","Total","Number","Total","1,135",""
"2007","Denmark","Croatia","Age reached during the year","Total","Number","Total","22",""
